Birthplace ID,Birthplace,Country Code,CIP2 ID,CIP2,Year,Total Population,Total Population RCA
100,"Albania","ALB","30","Interdisciplinary Studies",2014,86,0.3402373254777907
100,"Albania","ALB","30","Interdisciplinary Studies",2015,143,0.5149219306241227
100,"Albania","ALB","30","Interdisciplinary Studies",2016,119,0.4033144469614802
100,"Albania","ALB","30","Interdisciplinary Studies",2017,238,0.7636865517861496
100,"Albania","ALB","30","Interdisciplinary Studies",2018,234,0.7094339380418789
100,"Albania","ALB","30","Interdisciplinary Studies",2019,275,0.7960454020259372
100,"Albania","ALB","30","Interdisciplinary Studies",2020,349,0.9453688459895242
100,"Albania","ALB","30","Interdisciplinary Studies",2021,425,1.021413917255166
100,"Albania","ALB","30","Interdisciplinary Studies",2022,367,0.8739380051681894
100,"Albania","ALB","30","Interdisciplinary Studies",2023,441,0.9994883221449498
102,"Austria","AUT","30","Interdisciplinary Studies",2014,141,1.4192721609178252
102,"Austria","AUT","30","Interdisciplinary Studies",2015,133,1.340549134343103
102,"Austria","AUT","30","Interdisciplinary Studies",2016,131,1.372191046553796
102,"Austria","AUT","30","Interdisciplinary Studies",2017,116,1.2220899464619248
102,"Austria","AUT","30","Interdisciplinary Studies",2018,79,0.8156427634559188
102,"Austria","AUT","30","Interdisciplinary Studies",2019,53,0.5538670294411624
102,"Austria","AUT","30","Interdisciplinary Studies",2020,165,1.6893397443891414
102,"Austria","AUT","30","Interdisciplinary Studies",2021,160,1.6545070948834852
102,"Austria","AUT","30","Interdisciplinary Studies",2022,162,1.7992291840586705
102,"Austria","AUT","30","Interdisciplinary Studies",2023,170,1.8969182943474547
103,"Belgium","BEL","30","Interdisciplinary Studies",2014,164,1.9637192253754332
103,"Belgium","BEL","30","Interdisciplinary Studies",2015,198,2.2126975188078197
103,"Belgium","BEL","30","Interdisciplinary Studies",2016,110,1.2374770125377779
103,"Belgium","BEL","30","Interdisciplinary Studies",2017,110,1.2347058814758776
103,"Belgium","BEL","30","Interdisciplinary Studies",2018,44,0.45506468548091783
103,"Belgium","BEL","30","Interdisciplinary Studies",2019,62,0.6397690086673752
103,"Belgium","BEL","30","Interdisciplinary Studies",2020,31,0.3006421834373678
103,"Belgium","BEL","30","Interdisciplinary Studies",2021,107,0.957030906710538
103,"Belgium","BEL","30","Interdisciplinary Studies",2022,121,1.0747457546838364
103,"Belgium","BEL","30","Interdisciplinary Studies",2023,101,0.9508832559712569
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2014,300,1.3474319000285235
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2015,306,1.3204898587408875
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2016,303,1.2574851636583018
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2017,216,0.8840087694107356
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2018,166,0.6343726997422993
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2019,94,0.3466738478714286
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2020,77,0.2616457957117533
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2021,154,0.4950553412730447
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2022,249,0.786242136230264
104,"Bulgaria","BGR","30","Interdisciplinary Studies",2023,437,1.4138702661240783
106,"Denmark","DNK","30","Interdisciplinary Studies",2014,72,1.1426525545331934
106,"Denmark","DNK","30","Interdisciplinary Studies",2015,121,1.9057224023311257
106,"Denmark","DNK","30","Interdisciplinary Studies",2016,94,1.4552288269393712
106,"Denmark","DNK","30","Interdisciplinary Studies",2017,83,1.2106061429201667
106,"Denmark","DNK","30","Interdisciplinary Studies",2018,84,1.2101816140403996
106,"Denmark","DNK","30","Interdisciplinary Studies",2019,133,1.8041897888466532
106,"Denmark","DNK","30","Interdisciplinary Studies",2020,131,1.6764897705007593
106,"Denmark","DNK","30","Interdisciplinary Studies",2021,183,2.3345199533051963
106,"Denmark","DNK","30","Interdisciplinary Studies",2022,191,2.5200498528998683
106,"Denmark","DNK","30","Interdisciplinary Studies",2023,217,2.868860537157649
108,"Finland","FIN","30","Interdisciplinary Studies",2014,106,2.157138746502575
108,"Finland","FIN","30","Interdisciplinary Studies",2015,95,1.9163775557998783
108,"Finland","FIN","30","Interdisciplinary Studies",2016,97,1.96359419950145
108,"Finland","FIN","30","Interdisciplinary Studies",2017,95,1.9292367661948946
108,"Finland","FIN","30","Interdisciplinary Studies",2018,74,1.5069484069158048
108,"Finland","FIN","30","Interdisciplinary Studies",2019,79,1.4886729073777398
108,"Finland","FIN","30","Interdisciplinary Studies",2020,81,1.4579596456151978
108,"Finland","FIN","30","Interdisciplinary Studies",2021,82,1.3292163660269027
108,"Finland","FIN","30","Interdisciplinary Studies",2022,67,1.087721923576707
108,"Finland","FIN","30","Interdisciplinary Studies",2023,56,0.9629234859573542
109,"France","FRA","30","Interdisciplinary Studies",2014,1010,2.2579038806206366
109,"France","FRA","30","Interdisciplinary Studies",2015,1059,2.1613150334661633
109,"France","FRA","30","Interdisciplinary Studies",2016,1014,2.0465781468049875
109,"France","FRA","30","Interdisciplinary Studies",2017,1024,1.9704551116234137
109,"France","FRA","30","Interdisciplinary Studies",2018,1022,1.8620965071632407
109,"France","FRA","30","Interdisciplinary Studies",2019,1139,1.9878191670828835
109,"France","FRA","30","Interdisciplinary Studies",2020,972,1.6373839091867983
109,"France","FRA","30","Interdisciplinary Studies",2021,972,1.4975747905456744
109,"France","FRA","30","Interdisciplinary Studies",2022,906,1.3774465872645238
109,"France","FRA","30","Interdisciplinary Studies",2023,898,1.36646433622005
110,"Germany","DEU","30","Interdisciplinary Studies",2014,1785,1.3688409394313887
110,"Germany","DEU","30","Interdisciplinary Studies",2015,1586,1.2000416506360931
110,"Germany","DEU","30","Interdisciplinary Studies",2016,1644,1.2687350485470719
110,"Germany","DEU","30","Interdisciplinary Studies",2017,1547,1.1981963723347
110,"Germany","DEU","30","Interdisciplinary Studies",2018,1562,1.1947299853691618
110,"Germany","DEU","30","Interdisciplinary Studies",2019,1303,0.996139617608817
110,"Germany","DEU","30","Interdisciplinary Studies",2020,1622,1.2063466336972437
110,"Germany","DEU","30","Interdisciplinary Studies",2021,1826,1.2777793877495252
110,"Germany","DEU","30","Interdisciplinary Studies",2022,1980,1.3837702272098487
110,"Germany","DEU","30","Interdisciplinary Studies",2023,2074,1.4682666780586795
116,"Greece","GRC","30","Interdisciplinary Studies",2014,309,1.0181652568094604
116,"Greece","GRC","30","Interdisciplinary Studies",2015,395,1.2539678607876314
116,"Greece","GRC","30","Interdisciplinary Studies",2016,388,1.2536607650994835
116,"Greece","GRC","30","Interdisciplinary Studies",2017,334,1.1139023953300504
116,"Greece","GRC","30","Interdisciplinary Studies",2018,431,1.440914834331836
116,"Greece","GRC","30","Interdisciplinary Studies",2019,407,1.4111680150075285
116,"Greece","GRC","30","Interdisciplinary Studies",2020,307,1.0711638386844529
116,"Greece","GRC","30","Interdisciplinary Studies",2021,324,1.083291353435056
